Title: T1Œv‘ª VER.3.00
Date: 2024-06-24
PUL.T2	REAL(CURRENT)
 0.00003 	0.196892023086548 
 0.0000318 	0.173351585865021 
 0.0000345 	0.125684306025505 
 0.0000381 	0.100647434592247 
 0.0000426 	5.85022047162056E-02 
 0.000048 	4.37712818384171E-02 
 0.0000543 	1.01735144853592E-02 
 0.0000615 	2.11967919021845E-02 
 0.0000696 	0.004863191395998 
 0.0000786 	1.85189768671989E-02 
 0.0000885 	1.54089545831084E-02 
 0.0000993 	-1.24768866226077E-03 
 0.000111 	1.37084542075172E-04 
 0.0001236 	7.33242195565254E-04 
 0.0001371 	-6.17100717499852E-03 
